"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 28, 2015","Visakhapatnam                       , Andhra Pradesh","Visakhapatnam","Andhra Pradesh","I paid 3000/- for getting DOB certificate",3000,"Municipal Services",172,"Non Availability Certificate"
"October 28, 2015","Cuddapah                       , Andhra Pradesh","Cuddapah","Andhra Pradesh","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.",10,"Commercial Tax, Sales Tax, VAT",173,"C Form"
"October 28, 2015","Guwahati                       , Assam","Guwahati","Assam","I Paid Rs. 10000 to Others in Guwahati.",10000,"Others",157,"Others"
"October 28, 2015","Sambalpur                       , Orissa","Sambalpur","Orissa","I Paid Rs. 1200 to Others in Sambalpur.",1200,"Others",153,"Others"
"October 28, 2015","Kochi                       , Kerala","Kochi","Kerala","I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.",1000,"Customs, Excise and Service Tax",180,"Customs Check and Clearance"
"October 28, 2015","Amarpur                       , Bihar","Amarpur","Bihar","I Paid Rs. 5000 to Municipal Services in Amarpur.",5000,"Municipal Services",167,"Birth Certificate"
"October 27, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.",34,"Commercial Tax, Sales Tax, VAT",192,"C Form"
"October 27, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 1000 to Police in Pune.",1000,"Police",198,"Police Harassment"
"October 27, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 5000 to Municipal Services in Achhnera.",5000,"Municipal Services",181,"Birth Certificate"
"October 27, 2015","Goalpara                       , Assam","Goalpara","Assam","I Paid Rs. 1111 to Others in Goalpara.",1111,"Others",163,"Others"
"October 27, 2015","Siliguri                       , West Bengal","Siliguri","West Bengal","I Paid Rs. 23 to Municipal Services in Siliguri.",23,"Municipal Services",149,"Birth Certificate"
"October 27, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 50 to Customs, Excise and Service Tax in Mumbai.",50,"Customs, Excise and Service Tax",167,"Customs Check and Clearance"
"October 27, 2015","Shahabad, Hardoi                       , Uttar Pradesh","Hardoi","Hardoi","I Paid Rs. 200 to Commercial Tax, Sales Tax, VAT in Shahabad, Hardoi.",200,"Commercial Tax, Sales Tax, VAT",165,"C Form"
"October 27, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 100 to Municipal Services in Abohar.",100,"Municipal Services",167,"Birth Certificate"
"October 27, 2015","Jaipur                       , Rajasthan","Jaipur","Rajasthan","I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Jaipur.",10,"Commercial Tax, Sales Tax, VAT",153,"C Form"
